Respondent,Song,Favorite,Correct,Count
1,Cannon,Model 2,No,1
2,Cannon,Model 2,No,1
3,Cannon,Model 2,Yes,1
4,Cannon,Model 2,Yes,1
5,Cannon,Model 3,Yes,1
6,Jupiter,Model 2,Yes,1
7,Jupiter,Model 2,Yes,1
8,Jupiter,Model 2,Yes,1
9,Jupiter,Model 3,Yes,1
10,Jupiter,Model 2,No,1
11,Jupiter,Model 2,No,1
12,Jupiter,Model 2,No,1
13,Jupiter,Model 2,No,1
14,Jupiter,Model 2,Yes,1
15,Jupiter,Model 2,Yes,1
16,Jupiter,Model 2,Yes,1
17,Jupiter,Model 3,Yes,1
18,Cannon,Model 1,Yes,1
19,Cannon,Model 1,No,1
20,Cannon,Model 1,No,1
21,Cannon,Model 2,Yes,1
22,Cannon,Model 2,Yes,1
